,title,vote_average,release_date,runtime,genres
827743,Once Upon a Film,0.0,2007-09-01,89,Comedy
10511,Almost Friends,6.394,2017-11-17,105,"Drama, Comedy"
485426,Who's Changing: An Adventure in Time with Fans,0.0,2014-02-15,81,"Documentary, History, Science Fiction"
701935,Russia's Wonder Children,0.0,2000-01-01,98,Documentary
753274,Trilogia dos Carnavais: 25 Anos de Carreira ou de Lápide,0.0,2016-08-30,98,"Music, Documentary"
699732,Miyuki Tachihara: Supernatural Series 3,0.0,2004-08-27,60,Horror
88192,Warsaw by Night,5.8,2015-02-06,99,"Romance, Comedy, Drama"
426550,Intiqam 2: Wira Budiman,0.0,2023-06-21,107,"Action, Thriller"
337321,Almost Crying,7.0,1978-01-01,60,Drama
287254,Mulher Oceano,10.0,2020-10-22,99,Drama
771602,The Revival Tour: Live in Cologne,0.0,2011-10-12,180,Music
65530,The Eternal Breasts,7.2,1955-11-23,109,"Drama, Romance"
812957,Bus Stop,0.0,2017-07-21,125,Romance
706307,Bir Xalanin Sirri,0.0,2018-03-01,81,Comedy
130347,The Hunched Donkey,5.0,2009-08-26,92,"Drama, Horror"
535922,Pushkin and... Mikhailovskoye. Beginning,0.0,2024-03-15,62,Animation
894992,Enjoy Dot Com,0.0,2016-04-28,80,"Drama, Romance"
47886,Carny,5.024,2009-04-24,88,"Horror, Science Fiction, TV Movie, Action, Fantasy"
682749,Отпуск в октябре,0.0,2023-10-26,112,Drama
1010300,This House Is Not For Sale,0.0,2022-02-01,125,"Comedy, Horror, Mystery, Family"
182813,Reparation,4.5,2010-03-12,95,Documentary
9137,Dragonheart: Vengeance,6.876,2020-02-04,97,"Fantasy, Action, Adventure"
268326,Sanjulián: el poder de la ilustración,5.0,2021-10-09,78,Documentary
240739,"R5: All Day, All Night",10.0,2015-04-16,90,"Documentary, Music"
765501,The L.A. Riots: 25 Years Later,0.0,2017-04-23,86,Documentary
327488,Fuego,3.0,2007-10-29,104,"Drama, Action, Thriller"
241003,Temptations,6.0,1990-01-31,82,Drama
853244,Blessings,0.0,2003-10-05,120,Drama
948407,Les Troyens - San Francisco Opera,0.0,2015-06-07,230,Music
143178,Girlfriend Experience,2.5,2008-12-06,82,Drama
148318,Chelsea FC - Season Review 2001/02,9.2,2002-06-03,210,Documentary
786888,The Girl from Auschwitz,0.0,2005-08-25,76,Documentary
131430,Seahorse: The Dad Who Gave Birth,6.5,2020-01-28,91,Documentary
103246,Allotria,7.5,1936-06-11,94,Comedy
741033,Paddy,0.0,1970-03-31,97,Comedy
56470,Cooking Up Love,6.2,2021-01-29,85,"TV Movie, Comedy, Family, Romance"
340505,Revenge of the Dragon,6.0,1972-10-19,92,"Crime, Action"
9254,Kiss of Death,5.589,1995-04-21,101,"Crime, Thriller, Drama"
877948,Caribbean Vacation,0.0,2003-05-02,90,Crime
990146,Baikunth,0.0,2021-03-29,72,"Family, Drama"
801778,The Bridge of Sighs,0.0,1925-01-01,70,Drama
980319,Anaadhai Penn,0.0,1938-11-26,205,Drama
855087,Five Star: The Final,0.0,1986-09-19,83,Drama
11241,Our Lovers,7.266,2016-02-08,88,"Drama, Romance"
126726,BLACKPINK'S SUMMER DIARY [IN HAWAII],6.6,2019-09-09,89,Documentary
870955,Ground Rules,0.0,1997-01-01,90,Action
96118,The Good Things Devils Do,4.75,2020-08-15,81,Horror
153007,Que nos quiten lo bailao,5.0,1983-08-01,72,"Comedy, History"
